MODELO	MARCAS	RECARGO	DESC. FIJO
GD	HINO	25%	59%
GD T-800R50	HINO	25%	59%
GD1JLUA	HINO	25%	59%
GD1JLUA-BAX	HINO	25%	59%
HINO	HINO	25%	59%
KM	HINO	25%	59%
KM640	HINO	25%	59%
TE220	HINO	25%	59%
WU300L-HBMMS3	HINO	25%	59%
XZU730L-HKFTL3	HINO	25%	59%
ZS1EPVA	HINO	25%	59%
238	HINO	25%	59%
338	HINO	25%	59%
HS700UTV	HISUN	25%	59%
HF 200 GY-6	HOFAI	25%	59%
HF200-A	HOFAIMOTOR	25%	59%
ACCORD	HONDA	25%	59%
ACCORD EX	HONDA	25%	59%
ACCURA	HONDA	25%	59%
ACURA RDX	HONDA	25%	59%
ACURA RDX.	HONDA	25%	59%
CALLE	HONDA	25%	59%
CBR-1000F	HONDA	25%	59%
CBR250R	HONDA	25%	59%
CBR500RR	HONDA	25%	59%
CBR600RR	HONDA	25%	59%
CG125	HONDA	25%	59%
CITY	HONDA	25%	59%
CIVIC	HONDA	25%	59%
CIVIC COUPE	HONDA	25%	59%
CIVIC LX	HONDA	25%	59%
CIVIC SI COUPE	HONDA	25%	59%
CROSS TOUR	HONDA	25%	59%
CROSSTOUR	HONDA	25%	59%
CRV	HONDA	25%	59%
CRV EX	HONDA	25%	59%
CRV EXL	HONDA	25%	59%
CRV RE4838L	HONDA	25%	59%
CRX	HONDA	25%	59%
CUSTON 750	HONDA	25%	59%
ELEMENT	HONDA	25%	59%
FIT	HONDA	25%	59%
GALAXY GRAY M.	HONDA	25%	59%
INTEGRA	HONDA	25%	59%
LEGEND	HONDA	25%	59%
MOTO	HONDA	25%	59%
ODYSSEY	HONDA	25%	59%
PASSPORT	HONDA	25%	59%
PILOT	HONDA	25%	59%
POR DEF	HONDA	25%	59%
PRELUDE	HONDA	25%	59%
